#   npix      mod  mod_pix          X(foc)         Y(foc)          theta             phi        omt(foc)        omt(ffr)
      62        2       16   44.6869110000   33.600000000    6.485793352  126.3162671323   22.5000000000   21.6844732824 
      63        2       17   44.6869110000   41.400000000    7.063863406  132.0433665427   22.5000000000   21.4953048973 
      64        2       18   37.9319130000   45.300000000    6.836399784  139.2289924613  -22.5000000000  -23.5526020570 
      65        2       19   37.9319130000   37.500000000    6.174363429  133.9877056274  -22.5000000000  -23.3715117261 
      66        2       20   37.9319130000   29.700000000    5.578475132  127.5214305602  -22.5000000000  -23.1903349760 
      67        2       21   37.9319130000   21.900000000    5.072876159  119.6053936041  -22.5000000000  -23.0090900676 
      68        2       22   37.9319130000   14.100000000    4.687525309  110.1387972762  -22.5000000000  -22.8277950649 
      69        3        0   13.5099960000   75.000000000    8.733994331  168.4804680208  -22.5000000000  -23.9595313205 
      70        3        1   13.5099960000   67.200000000    7.861910980  167.4616597461  -22.5000000000  -23.8082715280 
      71        3        2   13.5099960000   59.400000000    6.991847205  166.1541869510  -22.5000000000  -23.6568345595 
      72        3        3   13.5099960000   51.600000000    6.125736685  164.4359255357  -22.5000000000  -23.5052422750 
      73        3        4   13.5099960000   43.800000000    5.266639144  162.1075683304  -22.5000000000  -23.3535160718 
      74        3        5    6.7549980000   47.700000000    5.523421894  171.1325090725   22.5000000000   21.6203826472 
      75        3        6    6.7549980000   55.500000000    6.406573863  172.1137364263   22.5000000000   21.4768745463 
      76        3        7    6.7549980000   63.300000000    7.289948873  172.8242014462   22.5000000000   21.3335175135 
      77        3        8    6.7549980000   71.100000000    8.172732060  173.3521211545   22.5000000000   21.1903341600 
      78        3        9    0.0000000000   75.000000000    8.562338002  178.7319827056  -22.5000000000  -23.8026746932 
      79        3       10    0.0000000000   67.200000000    7.677698169  178.8652618896  -22.5000000000  -23.6677794829 
      80        3       11    0.0000000000   59.400000000    6.791158563  179.0001891651  -22.5000000000  -23.5326898981 
      81        3       12    0.0000000000   51.600000000    5.902926296  179.1369343766  -22.5000000000  -23.3974299423 
      82        3       13    0.0000000000   43.800000000    5.013213349  179.2758685438  -22.5000000000  -23.2620231009 
      83        3       14   -6.7549980000   47.700000000    5.501998089 -172.7213677814   22.5000000000   21.7202131939 
      84        3       15   -6.7549980000   55.500000000    6.381610625 -173.9776467244   22.5000000000   21.5930643673 
      85        3       16   -6.7549980000   63.300000000    7.261537664 -174.9594230419   22.5000000000   21.4660825821 
      86        3       17   -6.7549980000   71.100000000    8.140966577 -175.7553252165   22.5000000000   21.3392928370 
      87        3       18  -13.5099960000   75.000000000    8.666425863 -171.0163617358  -22.5000000000  -23.6452475380 
      88        3       19  -13.5099960000   67.200000000    7.800842140 -169.7316337008  -22.5000000000  -23.5267905934 
      89        3       20  -13.5099960000   59.400000000    6.937442303 -168.1552259164  -22.5000000000  -23.4081173653 
      90        3       21  -13.5099960000   51.600000000    6.078140263 -166.1649041574  -22.5000000000  -23.2892545409 
      91        3       22  -13.5099960000   43.800000000    5.225973368 -163.5611117968  -22.5000000000  -23.1702282358 
      92        4        0  -37.9319130000   45.300000000    6.688213714 -140.7523131101  -22.5000000000  -23.0209893567 
      93        4        1  -37.9319130000   37.500000000    6.040717777 -135.2432501119  -22.5000000000  -22.9315390571 
      94        4        2  -37.9319130000   29.700000000    5.458162349 -128.5098609282  -22.5000000000  -22.8419433137 
      95        4        3  -37.9319130000   21.900000000    4.964069215 -120.3288720119  -22.5000000000  -22.7522328758 
      96        4        4  -37.9319130000   14.100000000    4.587617722 -110.6010440583  -22.5000000000  -22.6624381477 
      97        4        5  -44.6869110000   18.000000000    5.449697604 -112.2072271133   22.5000000000   22.3115832535 
      98        4        6  -44.6869110000   25.800000000    5.835446887 -120.3852395776   22.5000000000   22.2300345874 
      99        4        7  -44.6869110000   33.600000000    6.320634337 -127.4433210946   22.5000000000   22.1485916068 
     100        4        8  -44.6869110000   41.400000000    6.883892708 -133.4364582711   22.5000000000   22.0672867777 
     101        4        9  -51.4419090000   45.300000000    7.729178179 -132.0385791024  -22.5000000000  -22.9255983596 
     102        4       10  -51.4419090000   37.500000000    7.181374246 -126.6459593469  -22.5000000000  -22.8526060792 
     103        4       11  -51.4419090000   29.700000000    6.703274839 -120.4383516035  -22.5000000000  -22.7794496257 
     104        4       12  -51.4419090000   21.900000000    6.311190007 -113.3829523315  -22.5000000000  -22.7061636777 
     105        4       13  -51.4419090000   14.100000000    6.022306776 -105.5351205392  -22.5000000000  -22.6327825454 
     106        4       14  -58.1969070000   18.000000000    6.863771893 -107.4474866207   22.5000000000   22.3494556578 
     107        4       15  -58.1969070000   25.800000000    7.171110755 -114.2833001506   22.5000000000   22.2843310738 
     108        4       16  -58.1969070000   33.600000000    7.567641528 -120.4883896958   22.5000000000   22.2193257743 
     109        4       17  -58.1969070000   41.400000000    8.039876011 -126.0295909027   22.5000000000   22.1544763706 
     110        4       18  -64.9519050000   45.300000000    8.895885599 -125.5403281619  -22.5000000000  -22.8301469897 
     111        4       19  -64.9519050000   37.500000000    8.428652527 -120.5354355929  -22.5000000000  -22.7736269444 
     112        4       20  -64.9519050000   29.700000000    8.028953373 -114.9966553951  -22.5000000000  -22.7169218368 
     113        4       21  -64.9519050000   21.900000000    7.707647476 -108.9450399961  -22.5000000000  -22.6600707247 
     114        4       22  -64.9519050000   14.100000000    7.475125853 -102.4489144631  -22.5000000000  -22.6031122732 
     115        5        0  -37.9319130000  -14.100000000    4.587617722  -69.3989559417  -22.5000000000  -22.3375618523 
     116        5        1  -37.9319130000  -21.900000000    4.964069215  -59.6711279881  -22.5000000000  -22.2477671242 
     117        5        2  -37.9319130000  -29.700000000    5.458162349  -51.4901390718  -22.5000000000  -22.1580566863 
     118        5        3  -37.9319130000  -37.500000000    6.040717777  -44.7567498881  -22.5000000000  -22.0684609429 
     119        5        4  -37.9319130000  -45.300000000    6.688213714  -39.2476868899  -22.5000000000  -21.9790106433 
     120        5        5  -44.6869110000  -41.400000000    6.883892708  -46.5635417289   22.5000000000   22.9327132223 
     121        5        6  -44.6869110000  -33.600000000    6.320634337  -52.5566789054   22.5000000000   22.8514083932 
     122        5        7  -44.6869110000  -25.800000000    5.835446887  -59.6147604224   22.5000000000   22.7699654126 
     123        5        8  -44.6869110000  -18.000000000    5.449697604  -67.7927728867   22.5000000000   22.6884167465 
     124        5        9  -51.4419090000  -14.100000000    6.022306776  -74.4648794608  -22.5000000000  -22.3672174546 
     125        5       10  -51.4419090000  -21.900000000    6.311190007  -66.6170476685  -22.5000000000  -22.2938363223 
     126        5       11  -51.4419090000  -29.700000000    6.703274839  -59.5616483965  -22.5000000000  -22.2205503743 
     127        5       12  -51.4419090000  -37.500000000    7.181374246  -53.3540406531  -22.5000000000  -22.1473939208 
     128        5       13  -51.4419090000  -45.300000000    7.729178179  -47.9614208976  -22.5000000000  -22.0744016404 
     129        5       14  -58.1969070000  -41.400000000    8.039876011  -53.9704090973   22.5000000000   22.8455236294 
     130        5       15  -58.1969070000  -33.600000000    7.567641528  -59.5116103042   22.5000000000   22.7806742257 
     131        5       16  -58.1969070000  -25.800000000    7.171110755  -65.7166998494   22.5000000000   22.7156689262 
     132        5       17  -58.1969070000  -18.000000000    6.863771893  -72.5525133793   22.5000000000   22.6505443422 
     133        5       18  -64.9519050000  -14.100000000    7.475125853  -77.5510855369  -22.5000000000  -22.3968877268 
     134        5       19  -64.9519050000  -21.900000000    7.707647476  -71.0549600039  -22.5000000000  -22.3399292753 
     135        5       20  -64.9519050000  -29.700000000    8.028953373  -65.0033446049  -22.5000000000  -22.2830781632 
     136        5       21  -64.9519050000  -37.500000000    8.428652527  -59.4645644071  -22.5000000000  -22.2263730556 
     137        5       22  -64.9519050000  -45.300000000    8.895885599  -54.4596718381  -22.5000000000  -22.1698530103 
     138        6        0   13.5099960000  -43.800000000    5.266639144   17.8924316696  -22.5000000000  -21.6464839282 
     139        6        1   13.5099960000  -51.600000000    6.125736685   15.5640744643  -22.5000000000  -21.4947577250 
     140        6        2   13.5099960000  -59.400000000    6.991847205   13.8458130490  -22.5000000000  -21.3431654405 
     141        6        3   13.5099960000  -67.200000000    7.861910980   12.5383402539  -22.5000000000  -21.1917284720 
     142        6        4   13.5099960000  -75.000000000    8.733994331   11.5195319792  -22.5000000000  -21.0404686795 
     143        6        5    6.7549980000  -71.100000000    8.172732060    6.6478788456   22.5000000000   23.8096658400 
     144        6        6    6.7549980000  -63.300000000    7.289948873    7.1757985538   22.5000000000   23.6664824865 
     145        6        7    6.7549980000  -55.500000000    6.406573863    7.8862635737   22.5000000000   23.5231254537 
     146        6        8    6.7549980000  -47.700000000    5.523421894    8.8674909275   22.5000000000   23.3796173528 
     147        6        9   -0.0000000000  -43.800000000    5.013213349    0.7241314562  -22.5000000000  -21.7379768991 
     148        6       10   -0.0000000000  -51.600000000    5.902926296    0.8630656234  -22.5000000000  -21.6025700577 
     149        6       11   -0.0000000000  -59.400000000    6.791158563    0.9998108349  -22.5000000000  -21.4673101019 
     150        6       12   -0.0000000000  -67.200000000    7.677698169    1.1347381104  -22.5000000000  -21.3322205171 
     151        6       13   -0.0000000000  -75.000000000    8.562338002    1.2680172944  -22.5000000000  -21.1973253068 
     152        6       14   -6.7549980000  -71.100000000    8.140966577   -4.2446747835   22.5000000000   23.6607071630 
     153        6       15   -6.7549980000  -63.300000000    7.261537664   -5.0405769581   22.5000000000   23.5339174179 
     154        6       16   -6.7549980000  -55.500000000    6.381610625   -6.0223532756   22.5000000000   23.4069356327 
     155        6       17   -6.7549980000  -47.700000000    5.501998089   -7.2786322186   22.5000000000   23.2797868061 
     156        6       18  -13.5099960000  -43.800000000    5.225973368  -16.4388882032  -22.5000000000  -21.8297717642 
     157        6       19  -13.5099960000  -51.600000000    6.078140263  -13.8350958426  -22.5000000000  -21.7107454591 
     158        6       20  -13.5099960000  -59.400000000    6.937442303  -11.8447740836  -22.5000000000  -21.5918826347 
     159        6       21  -13.5099960000  -67.200000000    7.800842140  -10.2683662992  -22.5000000000  -21.4732094066 
     160        6       22  -13.5099960000  -75.000000000    8.666425863   -8.9836382643  -22.5000000000  -21.3547524620 
