#npix,mod,mod pix,X(foc),Y(foc),theta,phi,omt(foc),omt(ffr)
0,0,0,26.7129,10.2818,3.2567345362,248.7996893145,22.5,22.3011547005
1,0,1,26.7129,5.14091,3.0954093728,259.033255839,22.5,22.4005490318
2,0,2,26.7129,0,3.0397342236,270,22.5,22.5
3,0,3,26.7129,-5.14091,3.0954093728,-79.033255839,22.5,22.5994509682
4,0,4,26.7129,-10.2818,3.2567345362,-68.7996893145,22.5,22.6988452995
5,0,5,22.2608,17.9932,3.2597587791,230.7884555448,-22.5,-22.8420136172
6,0,6,22.2608,12.8523,2.9285759783,239.8175152908,-22.5,-22.7444796173
7,0,7,22.2608,7.71136,2.6852117953,250.7873159316,-22.5,-22.6467041786
8,0,8,22.2608,2.57045,2.5535725366,263.3786119972,-22.5,-22.5489441102
9,0,9,22.2608,-2.57045,2.5535725366,-83.3786119972,-22.5,-22.4510558898
10,0,10,22.2608,-7.71136,2.6852117953,-70.7873159316,-22.5,-22.3532958214
11,0,11,22.2608,-12.8523,2.9285759783,-59.8175152908,-22.5,-22.2555203827
12,0,12,22.2608,-17.9932,3.2597587791,-50.7884555448,-22.5,-22.1579863828
13,0,13,17.8086,20.5636,3.1017691839,220.5930261101,22.5,22.1157760676
14,0,14,17.8086,15.4227,2.6876566789,228.8917630908,22.5,22.2116340286
15,0,15,17.8086,10.2818,2.3471939644,239.8655357975,22.5,22.3076616681
16,0,16,17.8086,5.14091,2.116189246,253.8348463015,22.5,22.4038024119
17,0,17,17.8086,0,2.0322901856,270,22.5,22.5
18,0,18,17.8086,-5.14091,2.116189246,-73.8348463015,22.5,22.5961975881
19,0,19,17.8086,-10.2818,2.3471939644,-59.8655357975,22.5,22.6923383319
20,0,20,17.8086,-15.4227,2.6876566789,-48.8917630908,22.5,22.7883659714
21,0,21,17.8086,-20.5636,3.1017691839,-40.5930261101,22.5,22.8842239324
22,0,22,13.3565,23.1341,3.049442979,209.6597760464,-22.5,-22.9246320139
23,0,23,13.3565,17.9932,2.5587113679,216.3382830761,-22.5,-22.8305778666
24,0,24,13.3565,12.8523,2.1177403126,225.942580209,-22.5,-22.7363259325
25,0,25,13.3565,7.71136,1.7623222343,239.9195753516,-22.5,-22.6418322143
26,0,26,13.3565,2.57045,1.5565539174,259.0844832067,-22.5,-22.5472535318
27,0,27,13.3565,-2.57045,1.5565539174,-79.0844832067,-22.5,-22.4527464682
28,0,28,13.3565,-7.71136,1.7623222343,-59.9195753516,-22.5,-22.3581677857
29,0,29,13.3565,-12.8523,2.1177403126,-45.942580209,-22.5,-22.2636740675
30,0,30,13.3565,-17.9932,2.5587113679,-36.3382830761,-22.5,-22.1694221334
31,0,31,13.3565,-23.1341,3.049442979,-29.6597760464,-22.5,-22.0753679861
32,0,32,8.90432,25.7045,3.1091725378,198.7222232673,22.5,22.0366925211
33,0,33,8.90432,20.5636,2.5612769198,203.1256583477,22.5,22.1290143274
34,0,34,8.90432,15.4227,2.0371314089,209.811728269,22.5,22.2215623392
35,0,35,8.90432,10.2818,1.5565539174,220.8032418727,22.5,22.3142802775
36,0,36,8.90432,5.14091,1.1770271876,239.986593538,22.5,22.4071116989
37,0,37,8.90432,0,1.0217436492,-90,22.5,22.5
38,0,38,8.90432,-5.14091,1.1770271876,-59.986593538,22.5,22.5928883011
39,0,39,8.90432,-10.2818,1.5565539174,-40.8032418727,22.5,22.6857197225
40,0,40,8.90432,-15.4227,2.0371314089,-29.811728269,22.5,22.7784376608
41,0,41,8.90432,-20.5636,2.5612769198,-23.1256583477,22.5,22.8709856726
42,0,42,8.90432,-25.7045,3.1091725378,-18.7222232673,22.5,22.9633074789
43,0,43,4.45216,28.275,3.2748381464,188.5149100251,-22.5,-23.0001232614
44,0,44,4.45216,23.1341,2.6961963255,190.5592437043,-22.5,-22.9096616417
45,0,45,4.45216,17.9932,2.1223867143,193.6685037553,-22.5,-22.8189457668
46,0,46,4.45216,12.8523,1.5565539174,198.9919449778,-22.5,-22.7279316865
47,0,47,4.45216,7.71136,1.0217436492,210.0166035137,-22.5,-22.6368757747
48,0,48,4.45216,2.57045,0.5898987599,240.104709357,-22.5,-22.5456347301
49,0,49,4.45216,-2.57045,0.5898987599,-60.104709357,-22.5,-22.4543652699
50,0,50,4.45216,-7.71136,1.0217436492,-30.0166035137,-22.5,-22.3631242253
51,0,51,4.45216,-12.8523,1.5565539174,-18.9919449778,-22.5,-22.2720683135
52,0,52,4.45216,-17.9932,2.1223867143,-13.6685037553,-22.5,-22.1810542332
53,0,53,4.45216,-23.1341,2.6961963255,-10.5592437043,-22.5,-22.0903383583
54,0,54,4.45216,-28.275,3.2748381464,-8.5149100251,-22.5,-21.9998767386
55,0,55,0,25.7045,2.9442343809,179.6130249524,22.5,22.0536225387
56,0,56,0,20.5636,2.355573018,179.717227233,22.5,22.1424782946
57,0,57,0,15.4227,1.7679026024,179.8315735254,22.5,22.2316602712
58,0,58,0,10.2818,1.1770271876,179.971037411,22.5,22.3210122504
59,0,59,0,5.14091,0.5898987599,180.2106225535,22.5,22.4104777266
60,0,60,0,0,0,-89.9999999975,22.5,22.5
61,0,61,0,-5.14091,0.5898987599,-0.2106225535,22.5,22.5895222734
62,0,62,0,-10.2818,1.1770271876,0.028962589,22.5,22.6789877496
63,0,63,0,-15.4227,1.7679026024,0.1684264746,22.5,22.7683397288
64,0,64,0,-20.5636,2.355573018,0.282772767,22.5,22.8575217054
65,0,65,0,-25.7045,2.9442343809,0.3869750476,22.5,22.9463774613
66,0,66,-4.45216,28.275,3.2828521847,170.6085794834,-22.5,-22.9813055301
67,0,67,-4.45216,23.1341,2.7022795628,168.7645879686,-22.5,-22.8943376343
68,0,68,-4.45216,17.9932,2.1254786751,165.8668142998,-22.5,-22.8070157436
69,0,69,-4.45216,12.8523,1.5607667804,160.7749691768,-22.5,-22.7193957621
70,0,70,-4.45216,7.71136,1.0217436492,150.0149904501,-22.5,-22.6317342461
71,0,71,-4.45216,2.57045,0.5898987599,120.1058817595,-22.5,-22.5438875428
72,0,72,-4.45216,-2.57045,0.5898987599,59.8941182405,-22.5,-22.4561124572
73,0,73,-4.45216,-7.71136,1.0217436492,29.9850095499,-22.5,-22.3682657539
74,0,74,-4.45216,-12.8523,1.5607667804,19.2250308232,-22.5,-22.2806042379
75,0,75,-4.45216,-17.9932,2.1254786751,14.1331857002,-22.5,-22.1929842564
76,0,76,-4.45216,-23.1341,2.7022795628,11.2354120314,-22.5,-22.1056623657
77,0,77,-4.45216,-28.275,3.2828521847,9.3914205166,-22.5,-22.0186944699
78,0,78,-8.90432,25.7045,3.1239266621,160.4911483781,22.5,22.0708337544
79,0,79,-8.90432,20.5636,2.572790265,156.2852126492,22.5,22.1562679123
80,0,80,-8.90432,15.4227,2.045174659,149.8015908006,22.5,22.2419279875
81,0,81,-8.90432,10.2818,1.5607667804,139.0101802764,22.5,22.3278576383
82,0,82,-8.90432,5.14091,1.179813153,119.9841907639,22.5,22.4139004718
83,0,83,-8.90432,0,1.0217436492,90,22.5,22.5
84,0,84,-8.90432,-5.14091,1.179813153,60.0158092361,22.5,22.5860995282
85,0,85,-8.90432,-10.2818,1.5607667804,40.9898197236,22.5,22.6721423617
86,0,86,-8.90432,-15.4227,2.045174659,30.1984091994,22.5,22.7580720125
87,0,87,-8.90432,-20.5636,2.572790265,23.7147873508,22.5,22.8437320877
88,0,88,-8.90432,-25.7045,3.1239266621,19.5088516219,22.5,22.9291662456
89,0,89,-13.3565,23.1341,3.0709082026,149.6358576185,-22.5,-22.8786606009
90,0,90,-13.3565,17.9932,2.5766166219,143.1464438922,-22.5,-22.7947882029
91,0,91,-13.3565,12.8523,2.1301082049,133.7257109764,-22.5,-22.710718529
92,0,92,-13.3565,7.71136,1.7716130857,119.9120773503,-22.5,-22.6265077799
93,0,93,-13.3565,2.57045,1.5628689544,100.8689109026,-22.5,-22.5422120044
94,0,94,-13.3565,-2.57045,1.5628689544,79.1310890974,-22.5,-22.4577879956
95,0,95,-13.3565,-7.71136,1.7716130857,60.0879226497,-22.5,-22.3734922201
96,0,96,-13.3565,-12.8523,2.1301082049,46.2742890236,-22.5,-22.289281471
97,0,97,-13.3565,-17.9932,2.5766166219,36.8535561078,-22.5,-22.2052117971
98,0,98,-13.3565,-23.1341,3.0709082026,30.3641423815,-22.5,-22.1213393991
99,0,99,-17.8086,20.5636,3.1312776803,138.7778556301,22.5,22.1702813973
100,0,100,-17.8086,15.4227,2.7119843814,130.657539319,22.5,22.2525639111
101,0,101,-17.8086,10.2818,2.3666989699,119.8517539691,22.5,22.3349153145
102,0,102,-17.8086,5.14091,2.1331889789,106.0324158874,22.5,22.4173795024
103,0,103,-17.8086,0,2.0483831195,90,22.5,22.5
104,0,104,-17.8086,-5.14091,2.1331889789,73.9675841126,22.5,22.5826204976
